"Id","PostId","Score","Text","CreationDate","UserId","ContentLicense","Tags","CommentCategory","ReviewedCommentCategory"
"78205222","45622016","4","ngOnChanges is a lifecycle hook that fires when an @Input property changes. So if you are not passing the id from component a to component b through an input directive, then that hook won't fire. Camaron is right, you'll need an rxjs subject to transmit changes to components that are listening. Here is a good article on that type of component communication (http://jasonwatmore.com/post/2016/12/01/angular-2-communicating-between-components-with-observable-subject)","8/10/2017 20:20","7176268","CC BY-SA 3.0","<angular>","Relevant Information","Relevant Information"
"82621117","47829280","4","For future questions: code and error messages should be **in the question post as text**, not linked as images.","12/15/2017 9:29","3440745","CC BY-SA 3.0","<c++><intellij-idea><cmake><clion><crypto++>","Constructive Criticism","Constructive Criticism"
"95228543","54200824","4","So you recognised the arrow function and the template literal. What exactly is unclear, how the expression becomes the return value?","1/15/2019 14:31","1048572","CC BY-SA 4.0","<javascript><ecmascript-6>","Request Clarification","Request Clarification"
"110651902","62570219","4","`display(n->left);` but `display` doesn't expect any parameter. Do you mean `void display(struct node *root) { ... }`?","6/25/2020 7:41","1606345","CC BY-SA 4.0","<c><recursion>","Request Clarification","Request Clarification"
"111164542","60009473","4","If it is happening only in release builds, then it is a pro-guard issue. Check this quick fix: https://stackoverflow.com/a/61365688/3484700","7/12/2020 15:17","3484700","CC BY-SA 4.0","<android><android-fragments>","Relevant Information","Relevant Information"
"92632755","52770159","4","@bla I think that as is, its not solvable. Mainly because we don't know whats in the images, that effect could as well be data. Your best bet is 1)getting better data 2)adding strong constrains on what is information and what is not 3)discovering the caus","10/17/2018 15:55","1485872","CC BY-SA 4.0","<image><matlab><image-processing><baseline>","Constructive Criticism","Constructive Criticism"
"90557493","51800249","4","""*I ran this through a debugger, but we've neither been taught machine code/assembly*"" did you tell the compiler to add symbols and references to the sources file when compiling? Using GCC this can be done by specifying the option `-g`. The debugger then can provide you much more meaningful information. There then is no need to read machine code.","8/11/2018 14:21","694576","CC BY-SA 4.0","<c><list><segmentation-fault>","Request Clarification","Request Clarification"
"80650060","46851298","4","What code do you have in `cellForRowAtIndexPath`? The issue is almost certainly not UI-related, but logic/API call related.","10/20/2017 14:30","2868292","CC BY-SA 3.0","<ios><swift><uitableview>","Request Clarification","Request Clarification"
"108695491","61445787","4","Does this answer your question? [toFixed javascript function giving strange results?](https://stackoverflow.com/questions/12105787/tofixed-javascript-function-giving-strange-results)","4/26/2020 18:22","10781526","CC BY-SA 4.0","<javascript><math><rounding><tofixed>","Relevant Information","Relevant Information"
"93855605","187252","4","I'm voting to close this question as off-topic because it's not about programming.","11/27/2018 4:55","4032703","CC BY-SA 4.0","<wpf><expression-blend>","Constructive Criticism","Constructive Criticism"
"85409311","49201960","4","Please tag your question with the database you are using.  Also, sample data and desired results would help.","3/9/2018 20:56","1144035","CC BY-SA 3.0","<mysql><sql><database><graphql>","Request Clarification","Request Clarification"
"91922231","52490715","4","Where is the code that sends vertex data to the shader?","9/25/2018 4:51","734069","CC BY-SA 4.0","<c++><opengl><constructor><byte><glsl>","Request Clarification","Request Clarification"
"84688872","48842402","4","Have you overridden hashcode() also? Post the code of your Node class.","2/17/2018 14:35","5039498","CC BY-SA 3.0","<java><hashset>","Request Clarification","Request Clarification"
"78314876","45678593","4","Your code is vulnerable to SQL injection. Please read https://stackoverflow.com/questions/60174/how-can-i-prevent-sql-injection-in-php","8/14/2017 16:08","2695799","CC BY-SA 3.0","<php><mysql>","Relevant Information","Relevant Information"
"96649809","54943573","4","How do you know which words are to be concatenated?","3/1/2019 11:21","8472377","CC BY-SA 4.0","<python><string><list><iterator><concatenation>","Request Clarification","Request Clarification"
"79616724","46327920","4","Your compiler didn't warn about the zero-length array?","9/20/2017 17:05","3185968","CC BY-SA 3.0","<c>","Request Clarification","Request Clarification"
"75093028","44033219","4","Are you looking for a c or a c++ solution? Both languages offer different solutions. Your example looks like c, and you have both languages tagged.","5/17/2017 19:28","7359094","CC BY-SA 3.0","<c><algorithm><math><random>","Request Clarification","Request Clarification"
"105858534","59863521","4","Also see https://stackoverflow.com/questions/17733541/why-does-range-work-but-not-cells: `Range(Cells..., Cells...)` is problematic.","1/22/2020 15:56","9245853","CC BY-SA 4.0","<excel><vba>","Relevant Information","Relevant Information"
"75093438","44033164","4","Admin SDKs have different purpose and capabilities than client SDKs. See [this blog post](https://firebase.googleblog.com/2016/11/bringing-firebase-to-your-server.html) for details.","5/17/2017 19:40","226391","CC BY-SA 3.0","<node.js><firebase><firebase-admin>","Relevant Information","Relevant Information"
"108695912","61446079","4","I suggest you strip this down the least code needed to show problem. And report exact error.","4/26/2020 18:38","642706","CC BY-SA 4.0","<java><formatting>","Constructive Criticism","Constructive Criticism"
"95765535","54479341","4","Please provide sample data and desired results.  What you want to do is quite unclear.","2/1/2019 12:17","1144035","CC BY-SA 4.0","<mysql><sql>","Request Clarification","Request Clarification"
